t,amp
0.317578125,-1242.3541
0.3177734375,-1241.936
0.31796875,-1241.518
0.3181640625,-1241.746
0.318359375,-1242.0121
0.3185546875,-1241.974
0.31875,-1242.088
0.3189453125,-1242.088
0.319140625,-1241.8981
0.3193359375,-1241.974
0.31953125,-1241.822
0.3197265625,-1241.4039
0.319921875,-1241.5559
0.3201171875,-1241.594
0.3203125,-1241.0999
0.3205078125,-1241.0999
0.320703125,-1241.594
0.3208984375,-1241.1759
0.32109375,-1240.8718
0.3212890625,-1241.67
0.321484375,-1241.974
0.3216796875,-1241.822
0.321875,-1241.936
0.3220703125,-1242.0121
0.322265625,-1242.3921
0.3224609375,-1242.7343
0.32265625,-1242.6201
0.3228515625,-1242.5061
0.323046875,-1242.7722
0.3232421875,-1242.5442
0.3234375,-1242.05
0.3236328125,-1242.3921
0.323828125,-1242.5061
0.3240234375,-1242.3162
0.32421875,-1242.5061
0.3244140625,-1243.0002
0.324609375,-1243.1903
0.3248046875,-1243.1523
0.325,-1243.2283
0.3251953125,-1243.0382
0.325390625,-1243.1903
0.3255859375,-1243.1903
0.32578125,-1242.8102
0.3259765625,-1242.9242
0.326171875,-1243.2664
0.3263671875,-1243.0382
0.3265625,-1242.8102
0.3267578125,-1243.1523
0.326953125,-1243.1903
0.3271484375,-1242.8862
0.32734375,-1243.1523
0.3275390625,-1243.4183
0.327734375,-1243.5703
0.3279296875,-1243.7224
0.328125,-1243.4183
0.3283203125,-1243.2664
0.328515625,-1243.3804
0.3287109375,-1243.1143
0.32890625,-1242.5442
0.3291015625,-1242.7343
0.329296875,-1242.9623
0.3294921875,-1242.6962
0.3296875,-1242.7722
0.3298828125,-1242.6201
0.330078125,-1242.7722
0.3302734375,-1243.2283
0.33046875,-1243.0763
0.3306640625,-1242.8102
0.330859375,-1243.0382
0.3310546875,-1242.8862
0.33125,-1242.5442
0.3314453125,-1242.6962
0.331640625,-1242.9242
0.3318359375,-1242.8483
0.33203125,-1242.9242
0.3322265625,-1243.0763
0.332421875,-1243.0763
0.3326171875,-1243.5323
0.3328125,-1243.5323
0.3330078125,-1243.2664
0.333203125,-1243.6844
0.3333984375,-1243.6844
0.33359375,-1243.0002
0.3337890625,-1243.0763
0.333984375,-1243.3804
0.3341796875,-1242.9623
0.334375,-1243.1523
0.3345703125,-1243.4944
